filescaptured,esd_program,bdec,acronym,nickname,solicitation.number,nspires_id,nspires_title,nspires_type,sponsor,fy,annual_funds_avail,num_selected,max_performance_years,total_funds_avail,solicitation_url,selections_url,notes,link_to_rfp_pd
TRUE,r&a,TRUE,21-EARTH21,21-EARTH21,21-EARTH21,NNH21ZDA001N-FINESST,F.5 Future Investigators in NASA Earth and Space Science and Technology,NRA,NASA:HQ:SMD:CD,2021,,,,,,,,
TRUE,r&a,TRUE,19-EARTH20,19-EARTH20,19-EARTH20,NNH19ZDA001N-FINESST,Future Investigators in NASA Earth and Space Science and Technology ,NRA,NASA:HQ:SMD,2019,,,,,,,,
TRUE,r&a,TRUE,19-EARTH19,19-EARTH19,19-EARTH19,NNH19ZDA005K,Future Investigators in NASA Earth and Space Science and Technology (FINESST)-2019 New Proposals, FELLOWSHIP ,NASA:HQ:SMD,2019,,,,,,,,
TRUE,bd,TRUE,SLSCVC18,,18-SLSCVC18,NNH18ZDA001N-SLSCVC,Sustaining Living Systems in a Time of Climate Variability and Change,NRA,NASA:HQ:SMD:ES,2018,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-OSFC,A.13 Ocean Salinity Field Campaign,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-OSTST,A.14 Ocean Surface Topography Science Team,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-MAP,A.16 Modeling Analysis and Prediction,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-CRYO,A.17 Cryospheric Science,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-ACLS,A.19 Atmospheric Composition: Laboratory Research,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH22ZDA001N-LCLUC,A.2 Land Cover/Land Use Change,NRA,NASA:HQ:SMD:ES,2022,,,,,,,,
FALSE,,FALSE,,,,NNH21ZDA001N-RSWQ,A.21 Remote Sensing of Water Quality,NRA,NASA:HQ:SMD:ES,2021,,,,,,,,
FALSE,,FALSE,,,,NNH21ZDA001N-ESI,A.23 Earth Surface and Interior,NRA,NASA:HQ:SMD:ES,2021,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-ESI,A.26 Earth Surface and Interior,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-EUSPI,A.30 Earth Science U.S. Participating Investigator,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-NIP,A.32 New (Early Career) Investigator Program in Earth Science,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-TASNPP,"A.33 The Science of Terra, Aqua, and Suomi-NPP",NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,SERVIRA35,,NNH21ZDA001N-SERVIR,A.35 SERVIR Applied Sciences Team,NRA,NASA:HQ:SMD:ES,2021,,,,,,,,
