Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),NNX10AH05G S04,LOYOLA UNIVERSITY,HQ,ANALYSIS OF GENESIS SOLAR WIND SAMPLES BY TOTAL REFLECTION X-RAY FLOURESCENCE SPECTROMETRY,LABORATORY ANALYSIS OF RETURNED SAMPLES PROGRAM,MARTINA SCHMELING,JEFFREY N GROSSMAN,2/28/2014,3/23/2010,3/22/2015,Work In Progress,Distribution
4200506687,NNX10AH07G S04,Washington University (St. Louis),HQ,MICHROCHARACTERIZATION OF EXTRATERRESTRIAL MATERIALS FROM SAMPLE RETURN MISSIONS,LABORATORY ANALYSIS OF RETURNED SAMPLES PROGRAM,CHRISTINE FLOSS,JEFFREY GROSSMAN,3/14/2014,6/5/2010,6/4/2014,Work In Progress,Receiving
(N/A),NNX10AH07G S05,Washington University (St. Louis),HQ,MICHROCHARACTERIZATION OF EXTRATERRESTRIAL MATERIALS FROM SAMPLE RETURN MISSIONS,LABORATORY ANALYSIS OF RETURNED SAMPLES PROGRAM,CHRISTINE FLOSS,JEFFREY GROSSMAN,5/7/2014,6/5/2010,6/4/2015,Work In Progress,Receiving
4200516546,NNX10AH07G S06,Washington University (St. Louis),HQ,MICHROCHARACTERIZATION OF EXTRATERRESTRIAL MATERIALS FROM SAMPLE RETURN MISSIONS,LABORATORY ANALYSIS OF RETURNED SAMPLES PROGRAM,CHRISTINE FLOSS,JEFFREY GROSSMAN,6/11/2014,6/5/2010,6/4/2015,Work In Progress,Receiving
(N/A),NNX10AH23G S05,Space Florida,HQ,LAUNCH COMPLEXES 36 AND 46,SPACE OPERATIONS,JAMES PATRICK MCCARTHY,JEANIE M HALL,6/23/2014,7/1/2010,9/30/2014,Work In Progress,Receiving
(N/A),NNX10AH23G S06,Space Florida,HQ,LAUNCH COMPLEXES 36 AND 46,SPACE OPERATIONS,JAMES PATRICK MCCARTHY,JEANIE M HALL,11/10/2014,7/1/2010,3/30/2015,Work In Progress,Distribution
(N/A),NNX10AH31G S04,LOWELL OBSERVATORY,HQ,UNDERSTANDING THE ATMOSPHERES OF HOT EXOPLANETS,ORIGINS OF SOLAR SYSTEMS PROGRAM,TRAVIS BARMAN,MAX P BERNSTEIN,4/1/2014,8/1/2010,4/1/2014,Awarded,Distribution
(N/A),NNX10AH36G S05,UNIVERSITY OF CALIFORNIA - LOS ANGELES,HQ,PROPERTIES OF JOVIAN TROJANS,ORIGINS OF SOLAR SYSTEMS PROGRAM,DAVID JEWITT,MAX BERNSTEIN,3/19/2014,3/29/2010,3/28/2015,Awarded,Distribution
(N/A),NNX10AH37G S04,Princeton University,HQ,PREDICTING SIGNATURES OF ACCRETION AND TURBULENCE IN PROTOPLANETARY DISKS,ORIGINS OF SOLAR SYSTEMS,JEREMY GOODMAN,MAX BERNSTEIN,8/4/2014,9/1/2010,8/31/2015,Work In Progress,Distribution
(N/A),NNX10AH40G S04,"Harvard College, President and Fellows of (Harvard University)",HQ,REVEALING THE OUTER SOLAR SYSTEM USING OCCULTATIONS OF STARS,ORIGINS OF SOLAR SYSTEMS,CHARLES ALCOCK,MAX P BERNSTEIN,1/10/2014,3/30/2010,3/29/2015,Work In Progress,Receiving
(N/A),NNX10AH40G S05,"Harvard College, President and Fellows of (Harvard University)",HQ,REVEALING THE OUTER SOLAR SYSTEM USING OCCULTATIONS OF STARS,ORIGINS OF SOLAR SYSTEMS,CHARLES ALCOCK,CHRISTINA RICHEY,2/26/2014,3/30/2010,3/29/2015,Work In Progress,Package Processing
(N/A),NNX10AH40G S06,"Harvard College, President and Fellows of (Harvard University)",HQ,REVEALING THE OUTER SOLAR SYSTEM USING OCCULTATIONS OF STARS,ORIGINS OF SOLAR SYSTEMS,CHARLES ALCOCK,MAX P BERNSTEIN,10/8/2014,3/30/2010,9/29/2015,Work In Progress,Distribution
(N/A),NNX10AH46G S04,University of California-Los Angeles,HQ,VALUE ADDED SERVICES FOR VXOS: CREATION OF A COMPREHENSIVE DATA SET FOR THE FAST SMALL EXPLORER,HELIOPHYSICS DATA ENVIRONMENT ENHANCEMENTS PROGRAM,ROBERT J STRANGEWAY,JEFFREY J HAYES,2/26/2014,3/30/2010,3/29/2015,Work In Progress,Receiving
(N/A),NNX10AH57G S05,UNIVERSITY OF MONTANA,HQ,SOLAR-WIND FRACTIONATION AND COLLECTION CONTEXTS FOR GENESIS SOLAR SAMPLES,LABORATORY ANALYSIS OF RETURNED SAMPLES (LARS) PROGRAM,DAN REISENFELD,JEFFREY GROSSMAN,2/19/2014,4/15/2010,4/14/2015,Awarded,Distribution
(N/A),NNX10AH71G S04,CLARK UNIVERSITY,HQ,THE POTENTIAL IMPACTS OF SEA ICE DECLINE AND RIVER DISCHARGE SHIFTS ON BIOLOGICAL PRODUCTIVITY IN THE CHUKCHI AND BEAUFORT SEAS,OCEAN BIOLOGY AND BIOGEOCHEMISTRY (OBBO),KAREN FREY,THOMAS WAGNER,2/11/2014,3/30/2010,3/29/2015,Work In Progress,Receiving
(N/A),NNX10AH76G S07,"UNIVERSITY OF HAWAII, HONOLULU",HQ,"MINERALOGY, PETROLOGY AND ISOTOPE COMPOSTIONS OF CHONDRITE COMPONENTS",COSMOCHEMISTRY (COS) PROGRAM,ALEXANDER N. KROT,JEFFREY GROSSMAN,2/5/2014,4/5/2010,4/4/2015,Work In Progress,Package Processing
4200503612,NNX10AH76G S08,UNIVERSITY OF HAWAII,HQ,"MINERALOGY, PETROLOGY AND ISOTOPE COMPOSTIONS OF CHONDRITE COMPONENTS",COSMOCHEMISTRY (COS) PROGRAM,ALEXANDER N. KROT,JEFFREY GROSSMAN,3/5/2014,4/5/2010,4/4/2015,Work In Progress,Receiving
(N/A),NNX10AH78G S04,CLEMSON UNIVERSITY,HQ,NUCLEOSYNTHESIS AND GALACTIC CHEMICAL EVOLUTION OF COSMOCHEMICALLY SIGNIFICANT ISOTOPES,COSMOCHEMISTRY (COS) PROGRAM,BRADLEY MEYER,JEFFREY GROSSMAN,2/25/2014,5/1/2010,1/31/2015,Awarded,Distribution
4200502476,NNX10AI17G S06,JOHNS HOPKINS UNIVERSITY,HQ,SOLAR WIND INTERACTION AND ATMOSPHERIC LOSS AT VENUS AND MARS,UNSOLICITED,PONTUS BRANDT,ADRIANA C OCAMPO,2/6/2014,5/1/2010,4/30/2015,Work In Progress,Receiving
4200502478,NNX10AI35G S06,Southwest Research Institute,HQ,NASA VENUS EXPRESS PARTICIPATING SCIENTIST PROGRAM,UNSOLICITED,SCOT RAFKIN,ADRIANA C OCAMPO,2/5/2014,2/23/2010,2/28/2015,Work In Progress,Receiving
(N/A),NNX10AI39H S05,OHIO AEROSPACE INSTITUTE,HQ,OHIO SPACE GRANT CONSORTIUM,NATIONAL SPACE GRANT COLLEGE AND FELLOWSHIP PROGRAM,GARY SLATER,LENELL ALLEN,1/31/2014,4/9/2010,4/8/2015,Work In Progress,Receiving
4200507856,NNX10AI39H S06,OHIO AEROSPACE INSTITUTE,HQ,OHIO SPACE GRANT CONSORTIUM,NATIONAL SPACE GRANT COLLEGE AND FELLOWSHIP PROGRAM,GARY SLATER,LENELL ALLEN,4/2/2014,4/9/2010,4/8/2015,Work In Progress,Receiving
4200500060,NNX10AI40H S07,LOUISIANA STATE UNIVERSITY,HQ,LOUISIANA SPACE GRANT CONSORTIUM,NATIONAL SPACE GRANT COLLEGE AND FELLOWSHIP PROGRAM,JOHN WEFEL,LENELL ALLEN,1/13/2014,4/9/2010,4/8/2015,Work In Progress,Receiving
(N/A),NNX10AI40H S08,LOUISIANA STATE UNIVERSITY,HQ,LOUISIANA SPACE GRANT CONSORTIUM,NATIONAL SPACE GRANT COLLEGE AND FELLOWSHIP PROGRAM,JOHN WEFEL,LENELL ALLEN,11/20/2014,4/9/2010,4/8/2016,Work In Progress,Distribution
(N/A),NNX10AI42G S06,American Museum of Natural History,HQ,THERMOCHEMICAL HISTORIES OF THE EARLIEST SOLAR SYSTEM SOLIDS,COSMOCHEMISTRY (COS) PROGRAM,DENTON EBEL,JEFFREY GROSSMAN,2/25/2014,4/15/2010,4/14/2015,Work In Progress,Receiving
4200522890,NNX10AI42G S07,American Museum of Natural History,HQ,THERMOCHEMICAL HISTORIES OF THE EARLIEST SOLAR SYSTEM SOLIDS,COSMOCHEMISTRY (COS) PROGRAM,DENTON EBEL,JEFFREY GROSSMAN,8/5/2014,4/15/2010,4/14/2015,Work In Progress,Distribution
(N/A),NNX10AI61G S04,SETI INSTITUTE,HQ,UNDERGRADUATE RESEARCH AT THE SETI INSTITUTE IN ASTROBIOLOGY (URSA): A PARTNERSHIP BETWEEN THE SETI INSTITUTE AND SAN JOSE STATE UNIVERSITY,RESEARCH OPPORTUNITIES IN EDUCATION & PUBLIC OUTREACH  FOR EARTH & SPACE SCIENCE (EPOESS) PROGRAM,CYNTHIA PHILLIPS,THERESE A KUCERA,6/11/2014,7/1/2010,6/30/2015,Work In Progress,Distribution
(N/A),NNX10AI63G S06,Carnegie Institution of Washington,HQ,PRESOLAR MATERIALS IN METEORITES AND INTERPLANETARY DUST PARTICLES,COSMOCHEMISTRY (COS) PROGRAM,LARRY NITTLER,JEFFREY GROSSMAN,2/19/2014,4/15/2010,4/14/2015,Work In Progress,Distribution
