Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
"(N/A)","80NSSC18K0109","GMEP ENGINEERING INC","HQ","DIRECT EVALUATION OF BALLOONING INSTABILITY THEORY FOR SUBSTORM ONSET USING MULTI-SPACECRAFT OBSERVATIONS - GMEPE","HELIOPHYSICS SUPPORTING RESEARCH","XIAOYAN XING","ARIK POSNER","2016-06-01","2016-05-04","2019-05-03","Approved/ Awarded","Distribution"
"(N/A)","NNX07AJ53G S13","National Academy of Sciences","HQ","CAPITALIZING ON SCIENCES, TECHNOLOGY, AND INNOVATIONS; AN ASSESSMENT OF THE SMALL BUSINESS INNOVATION RESEARCH PROGRAM-PHASE II","UNSOLICITED","SUJAI SHIVAKUMAR","Robert Yang","2016-01-08","2007-06-01","2016-04-30","Work In Progress","Package Processing"
"(N/A)","NNX07AR60G S09","Smithsonian Institution","HQ","GLOBAL CHARACTERIZATION AND ANALYSIS OF TECTONISM ON MERCURY","MESSENGER PARTICIPATING SCIENTIST PROGRAM","THOMAS R WATTERS","EDWIN J GRAYZECK","2016-07-25","2007-08-15","2017-08-14","Work In Progress","Administrative | Administrative - 1st No Cost Extension"
"(N/A)","NNX07AR62G S09","University of California-Los Angeles","HQ","UNDERSTANDING MERCURY'S MAGNETOSPHERE USING MESSENGER DATEA AND GLOBAL KINETIC SIMULATIONS","RESEARCH OPPORTUNITIES IN SPACE AND EARTH SCIENCES - 2006","DAVID SCHRIVER","EDWIN J GRAYZECK","2016-04-25","2007-08-15","2017-08-14","Work In Progress","Receiving"
"(N/A)","NNX08AC28A S69","Universities Space Research Association-USRA","HQ","OPERATION OF THE LUNAR AND PLANETARY INSTITUTE","NASA ASTROBIOLOGY INSTITUTE - CYCLE 3","Stephen Mackwell","MAX P BERNSTEIN","2016-06-13","2008-01-01","2015-12-31","Work In Progress","Receiving"
"(N/A)","NNX08AN30G S10","Johns Hopkins University/Applied Physics Lab","HQ","INVESTIGATING MERCURY'S COMPOSITION AND GEOLOGY USING ORBITAL NEUTRON SPECTROSCOPY","MESSENGER MISSION PARTICIPATING SCIENTISTS","DAVID J. LAWRENCE","ED GRAYZECK","2016-04-18","2008-04-24","2017-10-30","Work In Progress","Receiving"
"(N/A)","NNX09AB47G S07","LOWELL OBSERVATORY","HQ","MERCURY'S ATMOSPHERE IN THE AGE OF MESSENGER: CALCIUM AND NEW SPECIES","PLANETARY ASTRONOMY (PAST) PROGRAM","THOMAS BIDA","KELLY E FAST","2016-01-13","2009-01-01","2016-12-31","Work In Progress","Receiving"
"(N/A)","NNX09AB47G S08","Lowell Observatory--see notes","HQ","MERCURY'S ATMOSPHERE IN THE AGE OF MESSENGER: CALCIUM AND NEW SPECIES","PLANETARY ASTRONOMY (PAST) PROGRAM","THOMAS BIDA","KELLY E FAST","2016-12-14","2009-01-01","2017-12-31","Approved/ Awarded","Distribution"
"(N/A)","NNX09AC93G S10","University of California - Davis","HQ","ISOTOPIC INVESTIGATIONS RELEVANT TO ORIGINS OF SOLAR SYSTEMS","ORIGINS OF SOLAR SYSTEMS","QUING-ZHU YIN","MAX P BERNSTEIN","2016-01-14","2009-01-01","2016-12-31","Work In Progress","Receiving"
"(N/A)","NNX09AE47G S09","UNIVERSITY OF WASHINGTON","HQ","ANTARCTIC AND GREENLAND DATA ANALYSIS IN SUPPORT OF THE ICESAT-II SCIENCE DEFINITION TEAM","ICESAT-II SCIENCE DEFINITION TEAM","BENJAMIN SMITH","THOMAS WAGNER","2016-03-07","2009-03-01","2017-02-28","Work In Progress","Receiving"
"4200592421","NNX09AE47G S10","UNIVERSITY OF WASHINGTON","HQ","ANTARCTIC AND GREENLAND DATA ANALYSIS IN SUPPORT OF THE ICESAT-II SCIENCE DEFINITION TEAM","ICESAT-II SCIENCE DEFINITION TEAM","BENJAMIN SMITH","THOMAS WAGNER","2016-07-06","2009-03-01","2017-02-28","Work In Progress","Receiving"
"(N/A)","NNX09AE72G S07","Johns Hopkins University/Applied Physics Lab","HQ","INVESTIGATING CO2 AND OTHER NON-ICE MATERIALS IN THE SURFACES OF THE ICY SATURNIAN SATELLITES","CASSINI DATA ANALYSIS PROGRAM (CDAP)","CHARLES HIBBITTS","MAX P BERNSTEIN","2016-07-12","2009-06-01","2017-06-30","Work In Progress","Package Processing"
"(N/A)","NNX09AE85G S16","University of Wisconsin - Madison","HQ","INVESTIGATION OF THE VENUS ATMOSPHERIC DYNAMICS FROM VMC AND VIRTIS: INSTRUMENTS ON VENUS EXPRESS","ORIGINS SCIENCE MISSION CONCEPT STUDIES","SANJAY LIMAYE","ADRIANA C OCAMPO","2016-03-15","2009-01-27","2016-12-31","Work In Progress","Receiving"
"(N/A)","NNX09AL65G S10","Pennsylvania State University","HQ","ON-LINE INTERACTIVE MODELS OF CLIMATE SYSTEM DYNAMICS TO EXPAND THE REACH AND EFFECTIVENESS OF CLIMATE CHANGE EDUCATION","GLOBAL CLIMATE CHANGE EDUCATION (GCCE)","TIMOTHY J BRALOWER","Karen Fallon","2016-04-19","2009-07-01","2016-06-30","Work In Progress","Resolve/FPDS-NG"
"(N/A)","NNX09AM06G S08","Planetary Science Institute","HQ","US NEAR-EARTH OBJECT SURVEILLANCE SATELLITE SCIENCE TEAM SUPPORT","LUNAR AND PLANETARY SCIENCE U.S. PARTICIPATING INVESTIGATOR PROGRAM","EDWARD TEDESCO","Lindley Johnson","2016-01-25","2009-08-03","2016-05-02","Work In Progress","Receiving"
