Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),NNX07AF88G S06,ARIZONA STATE UNIVERSITY,HQ,NON-RACEMIC AMINO ACIDS IN METEORITES: A GAUGE FOR AQUEOUS PROCESSES IN EARLY SOLAR SYSTEM PLANETESIMALS,ORIGINS OF SOLAR SYSTEMS PROGRAM,SANDRA PIZZARELLO,MAX BERNSTEIN,4/23/2013,6/1/2007,5/31/2014,Awarded,Distribution
(N/A),NNX07AI48G S06,CARNEGIE INSTITUTION OF WASHINGTON,HQ,APPLICATION OF ULTRAVIOLET AND INFRARED LASER MICROPROBE FOR IN SITU AND BULK MEASUREMENTS OF OXYGEN AND SULFUR ISOTOPES IN METEORITIC MATERIALS,COSMOCHEMISTRY PROGRAM,DOUGLAS RUMBLE,JEFFREY GROSSMAN,3/7/2013,3/14/2007,3/14/2014,Awarded,Distribution
(N/A),NNX07AJ53G S07,NATIONAL ACADEMY OF SCIENCE,HQ,"CAPITALIZING ON SCIENCES, TECHNOLOGY, AND INNOVATIONS; AN ASSESSMENT OF THE SMALL BUSINESS INNOVATION RESEARCH PROGRAM-PHASE II",UNSOLICITED,CHARLES W WESSNER,RICHARD B LESHNER,3/12/2013,6/1/2007,3/31/2014,Work In Progress,Receiving
4200490610,NNX07AJ53G S08,National Academy of Sciences,HQ,"CAPITALIZING ON SCIENCES, TECHNOLOGY, AND INNOVATIONS; AN ASSESSMENT OF THE SMALL BUSINESS INNOVATION RESEARCH PROGRAM-PHASE II",UNSOLICITED,CHARLES W WESSNER,RICHARD B LESHNER,9/12/2013,6/1/2007,3/31/2014,Work In Progress,Package Processing
(N/A),NNX07AK91A S06,UNIVERSITY OF NORTH DAKOTA,HQ,NORTH DAKOTA NASA EPSCOR RESEARCH INFRASTRUCTURE DEVELOPMENT,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,SANTHOSH SEELAN,DIANE DETROYE,3/13/2013,5/2/2007,5/1/2014,Awarded,Distribution
(N/A),NNX07AK92A S06,UNIVERSITY OF VERMONT,HQ,VERMONT EPSCOR RESEARCH INFRASTRUCTURE DEVELOPMENT,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,WILLIAM LAKIN,DIANE D DETROYE,1/23/2013,5/2/2007,5/1/2014,Awarded,Distribution
(N/A),NNX07AK92A S07,UNIVERSITY OF VERMONT,HQ,VERMONT EPSCOR RESEARCH INFRASTRUCTURE DEVELOPMENT,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,DARREN L HITT,LENELL ALLEN,11/8/2013,5/2/2007,5/1/2014,Awarded,Distribution
(N/A),NNX07AL02A S07,MONTANA STATE UNIVERSITY,HQ,MONTANA NASA EPSCOR PHASE III RESEARCH INFRASTRUCTURE DEVELOPMENT PROGRAM,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,ANGELA DES JARDINS,DIANE D DETROYE,2/4/2013,5/2/2007,4/30/2014,Awarded,Distribution
(N/A),NNX07AL02A S08,MONTANA STATE UNIVERSITY,HQ,MONTANA NASA EPSCOR PHASE III RESEARCH INFRASTRUCTURE DEVELOPMENT PROGRAM,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,ANGELA DES JARDINS,JEPPIE R COMPTON,12/16/2013,5/2/2007,4/30/2014,Awarded,Distribution
(N/A),NNX07AL02A S09,MONTANA STATE UNIVERSITY,HQ,MONTANA NASA EPSCOR PHASE III RESEARCH INFRASTRUCTURE DEVELOPMENT PROGRAM,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,ANGELA DES JARDINS,JEPPIE R COMPTON,12/20/2013,5/2/2007,4/30/2014,Awarded,Distribution
(N/A),NNX07AL04A S07,SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY,HQ,SOUTH DAKOTA NASA EPSCOR RESEARCH INFRASTRUCTURE DEVELOPEMENT PROGRAM,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,EDWARD F DUKE,DIANE D DETROYE,2/22/2013,5/2/2007,5/1/2014,Awarded,Distribution
(N/A),NNX07AL04A S08,SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY,HQ,SOUTH DAKOTA NASA EPSCOR RESEARCH INFRASTRUCTURE DEVELOPEMENT PROGRAM,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,EDWARD F DUKE,JEPPIE R COMPTON,12/13/2013,5/2/2007,5/1/2014,Awarded,Distribution
(N/A),NNX07AL05A S07,UNIVERSITY OF IDAHO,HQ,Idaho NASA EPSCoR Research INFRASTRUCTURE Development,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH (EPSCOR),JOSEPH D LAW,DIANE D DETROYE,5/1/2013,8/1/2007,7/31/2013,Awarded,Distribution
(N/A),NNX07AL52A S06,UNIVERSITY OF ALABAMA - HUNTSVILLE,HQ,AL NASA EPSCOR RESEARCH INFRASTRUCTURE DEVELOPMENT,ALL NASA EPSCOR RESEARCH INFRASTRUCTURE DEVELOPMENT,JOHN C GREGORY,DIANE D DETROYE,3/13/2013,6/1/2007,5/31/2014,Awarded,Distribution
(N/A),NNX07AL52A S07,UNIVERSITY OF ALABAMA - HUNTSVILLE,HQ,AL NASA EPSCOR RESEARCH INFRASTRUCTURE DEVELOPMENT,ALL NASA EPSCOR RESEARCH INFRASTRUCTURE DEVELOPMENT,JOHN C GREGORY,JEPPIE R COMPTON,12/16/2013,6/1/2007,5/31/2014,Awarded,Distribution
(N/A),NNX07AL53A S07,WEST VIRGINIA UNIVERSITY,HQ,RESEARCH INFRASTRUCTURE DEVELOPMENT (RID) IN WEST VIRGINIA:  A PROPOSAL TO NASA EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,MAJID JARIDI,DIANE DETROYE,5/2/2013,7/1/2007,6/30/2014,Awarded,Distribution
(N/A),NNX07AL53A S08,WEST VIRGINIA UNIVERSITY,HQ,RESEARCH INFRASTRUCTURE DEVELOPMENT (RID) IN WEST VIRGINIA:  A PROPOSAL TO NASA EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,MAJID JARIDI,JEPPIE R COMPTON,12/16/2013,7/1/2007,6/30/2014,Awarded,Distribution
(N/A),NNX07AM20A S06,NEVADA SYSTEM OF HIGHER EDUCATION,HQ,NEVEADA EPSCoR RESEARCH INFRASTRUCTURE DEVELOPMENT,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,CHRISTIAN FRITSEN,DIANE D DETROYE,3/26/2013,6/1/2007,3/31/2014,Awarded,Distribution
(N/A),NNX07AM20A S07,NEVADA SYSTEM OF HIGHER EDUCATION,HQ,NEVEADA EPSCoR RESEARCH INFRASTRUCTURE DEVELOPMENT,EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,CHRISTIAN FRITSEN,JEPPIE R COMPTON,12/16/2013,6/1/2007,3/31/2014,Awarded,Distribution
4200475376,NNX07AN47G S07,"ASPEN GLOBAL CHANGE INSTITUTE, INC",HQ,ASPEN GLOBAL CHANGE INSTITUTE SUMMER SCIENCE SESSIONS,UNSOLICITED,JOHN KATZENBERGER,WILLIAM W TURNER,5/20/2013,7/18/2007,7/17/2014,Awarded,Distribution
(N/A),NNX07AO30A S06,UNIVERSITY OF PUERTO RICO - SAN JUAN,HQ,PUERTO RICO NASA EPSCOR RESEARCH INFRASTRUCTURE DEVELOPMENT,DNNXEVELOPING RESEARCH EXPERTISE IN SUPPORT OF SPACE EXPLORATION,GERARDO MORELL,DIANE D DETROYE,5/6/2013,6/28/2007,6/27/2014,Awarded,Distribution
