Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),NNX06AC24G S04,UNIVERSITY OF SOUTHERN CALIFORNIA,HQ,THE STUDY OF THE CHANGING SOLAR INTERIOR USING GLOBAL AND LOCAL HELIOSEISMOLOGY,LIVING WITH A STAR TARGETED RESEARCH AND TECHNOLOGY PROGRAM,EDWARD RHODES,MADHULIKA GUHATHAKURTA,5/23/2011,5/24/2006,5/23/2012,Awarded,Distribution
4200323075,NNX06AC31H S09,UNIVERSITY OF HARTFORD,HQ,CONNECTICUT SPACE GRANT CONSORTIUM,NATIONAL SPACE GRANT COLLEGE AND FELLOWSHIP PROGRAM:  FOLLOW-ON AWARDS,THOMAS FILBURN,DIANE D DETROYE,3/30/2011,5/25/2006,5/24/2012,Awarded,Distribution
(N/A),NNX06AC31H S10,UNIVERSITY OF HARTFORD,HQ,CONNECTICUT SPACE GRANT CONSORTIUM,NATIONAL SPACE GRANT COLLEGE AND FELLOWSHIP PROGRAM:  FOLLOW-ON AWARDS,THOMAS FILBURN,DIANE D DETROYE,9/29/2011,5/25/2006,5/24/2012,Awarded,Distribution
(N/A),NNX06AC46G S05,CORNELL UNIVERSITY,HQ,REQUEST FOR CONTINUED SUPPORT FOR THE SPACECRAFT PLANETARY IMAGING FACILITY,UNSOLICITED,JOSEPH VEVERKA,MICHAEL S KELLEY,5/4/2011,6/22/2006,6/21/2012,Awarded,Distribution
4200349518,NNX06AC75G S06,COLORADO STATE UNIVERSITY,GSFC,"ATMOSPHERIC MODELING, ASSIMILATION AND SOURCE-SINK ESTIMATION FOR THE CARBON-CYCLE",CARBON CYCLE SCIENCE,SCOTT DENNING,STEVEN PAWSON,4/26/2011,6/23/2006,6/22/2012,Awarded,Distribution
4200344679,NNX06AC76G S06,COLORADO STATE UNIVERSITY,GSFC,"ATMOSPHERIC MODELING, ASSIMILIATION AND SOURCE-SINK ESTIMATION FOR THE CARBON CYCLE",SCIENCE MISSION DIRECTORATE'S EARTH-SUN SYSTEM DIVISION,DENIS O'BRIEN,STEVEN PAWSON,5/4/2011,6/23/2006,6/22/2012,Awarded,Distribution
(N/A),NNX06AC85A S11,SETI INSTITUTE,GSFC,CIRS INVESTIGATIONS OF PLANETARY RINGS,UNSOLICITED,MARK SHOWALTER,F MICHAEL FLASAR,6/15/2011,6/9/2006,6/8/2012,Awarded,Distribution
(N/A),NNX06AC94G S07,AMERICAN GEOPHYSICAL UNION,HQ,ENHANCING NASA'S LAND-COVER LAND-USE CHANGE PRODUCTS AND SERVICES THROUGH GLOBAL OBSERVATION OF FOREST AND LAND COVER DYNAMICS-GOLD'S REGIONAL NETWORKS,UNSOLICITED,VIRJI HASSAN,GARIK GUTMAN,6/22/2011,6/15/2006,10/15/2011,Awarded,Distribution
(N/A),NNX06AD40G S04,REGENTS OF THE UNIVERSITY OF CALIFORNIA - SAN DIEGO,GSFC,(N/A),"CRYOSPHERIC SCIENCES, OCEAN BIOLOGY, PHYSICAL OCEANOGRAPHY",HELEN A. FRICKER,THORSTEN MARKUS,6/30/2011,7/1/2006,6/30/2012,Awarded,Distribution
4200398371,NNX06AD40G S05,REGENTS OF THE UNIVERSITY OF CALIFORNIA - SAN DIEGO,GSFC,"ANALYSIS OF RAPIDLY CHANGING ANTARTIC ICE SHELVES USING ERS AND GLAS ALTIMETRY, RADARSTAT SAR INTERFEROMETRY AND 3-D OCEAN MODELING","CRYOSPHERIC SCIENCES, OCEAN BIOLOGY, PHYSICAL OCEANOGRAPHY",HELEN A. FRICKER,THORSTEN MARKUS,7/27/2011,7/1/2006,6/30/2012,Awarded,Distribution
(N/A),NNX06AD74G S05,UNIVERSITY OF MIAMI,GSFC,DEVELOP MOIST PHYSICS PARAMETERIZATIONS FOR THE SINGLE COLUMN MODEL FRAMEWORK,EARTH-SUN SYSTEM,BRIAN MAPES,MICHELE M RIENECKER,9/22/2011,10/1/2006,9/30/2012,Awarded,Distribution
4200273867/ 4200274238,NNX06AD95G S07,THE TRUSTEES OF PRINCETON UNIVERSITY (PRINCETON UNIVERSITY),HQ,STUDIES OF NET AND GROSS PRODUCTION IN THE SOUTHERN OCEAN: CONTROLS AND SCALING,UNSOLICITED,MICHAEL BENDER,PAULA S BONTEMPI,1/4/2011,7/13/2006,7/31/2011,Awarded,Distribution
(N/A),NNX06AE70G S06,JOHNS HOPKINS UNIVERSITY,GSFC,CHEMISTRY-CLIMATE STUDIES USING GENERAL CIRCULATION MODELS,"MODELING, ANALYSIS AND PREDICTION",DARRYN WAUGH,ANNE DOUGLASS,6/28/2011,7/11/2006,7/10/2012,Awarded,Distribution
(N/A),NNX06AE73A S04,UNIVERSITY OF HAWAII SYSTEMS,GSFC,CIRS PROPOSAL,UNSOLICITED,TOBIAS OWEN,GORDON L BJORAKER,7/5/2011,8/1/2006,7/31/2012,Awarded,Distribution
(N/A),NNX06AF14G S08,STEVENS INSTITUTE OF TECHNOLOGY (INC),HQ,"NATIONAL SPACE GRANT COLLEGE AND FELLOWSHIP PROGRAM, PHASE I-DESIGNATION OF SPACE GRANT COLLEGES/CONSORTIA",SPACE GRANT AND EPSCOR PROGRAM,JOSEPH MILES,DIANE D DETROYE,10/14/2011,7/20/2006,8/31/2012,Awarded,Distribution
(N/A),NNX06AF93G S06,UNIVERSITY OF CALIFORNIA - IRVINE,GSFC,THE CHALLENGES OF UTILIZING SATELLITE PRECIPITATION DATA FOR HYDROLOGIC,TERRESTRIAL HYDROLOGY PROGRAM,SOROOSH SOROOSHIAN,MICHAEL F JASINSKI,8/11/2011,8/8/2006,8/7/2012,Awarded,Distribution
