Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
4200756129,80NSSC18K1207 P00002,SMITHSONIAN ASTROPHYSICAL OBSERVATORY,HQ,EFFECTS OF DENSITY FLUCTUATIONS ON ALFVEN WAVE TURBULENCE IN A CORONAL HOLE,Heliophysics Supporting Research,Mahboubeh Asgari-Targhi,ARIK POSNER,3/5/2021,6/26/2018,6/25/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1207 P00003,SMITHSONIAN ASTROPHYSICAL OBSERVATORY,HQ,EFFECTS OF DENSITY FLUCTUATIONS ON ALFVEN WAVE TURBULENCE IN A CORONAL HOLE,Heliophysics Supporting Research,Mahboubeh Asgari-Targhi,Patrick Koehn,5/25/2021,6/26/2018,6/25/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1208 P00003,(N/A),HQ,SIMULATING ENERGY BUILDUP AND ERUPTIONS IN SOLAR ACTIVE REGIONS,HELIOPHYSICS SUPPORTING RESEARCH,Ward Manchester,Patrick Koehn,9/22/2021,9/1/2018,8/31/2022,Approved/ Awarded,Distribution
4200753796,80NSSC18K1209  P00002,University of Alabama - Huntsville,HQ,Interpreting magnetic field and cosmic ray observations in the outer heliosheath,Heliophysics Supporting Research,Vladimir Florinski,ARIK POSNER,1/14/2021,6/26/2018,6/25/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1209  P00003,University of Alabama - Huntsville,HQ,Interpreting magnetic field and cosmic ray observations in the outer heliosheath,Heliophysics Supporting Research,Vladimir Florinski,Patrick Koehn,3/8/2021,6/26/2018,6/25/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1209  P00004,University of Alabama - Huntsville,HQ,Interpreting magnetic field and cosmic ray observations in the outer heliosheath,Heliophysics Supporting Research,Vladimir Florinski,Patrick Koehn,7/7/2021,6/26/2018,6/25/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1210 P00003,University of Delaware,HQ,"Heating and Acceleration of the Solar Corona and Solar Wind: Effects of Turbulence Transport, Eddy Viscosity, and Turbulent Resistivity",Heliophysics Supporting Research,Arcadi Usmanov,Patrick Koehn,3/10/2021,6/26/2018,6/25/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1210 P00004,University of Delaware,HQ,"Heating and Acceleration of the Solar Corona and Solar Wind: Effects of Turbulence Transport, Eddy Viscosity, and Turbulent Resistivity",Heliophysics Supporting Research,Arcadi Usmanov,Patrick Koehn,6/2/2021,6/26/2018,6/25/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1212 P00004,University of Alabama - Huntsville,HQ,HELIUM AND THE HELIOSPHERE,HELIOPHYSICS SUPPORTING RESEARCH,JACOB HEERIKHUISEN,Patrick Koehn,3/7/2021,6/26/2018,6/25/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1212 P00005,University of Alabama - Huntsville,HQ,HELIUM AND THE HELIOSPHERE,HELIOPHYSICS SUPPORTING RESEARCH,JACOB HEERIKHUISEN,Patrick Koehn,5/27/2021,6/26/2018,6/25/2022,Approved/ Awarded,Distribution
