Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
4200156957,NNX06AB01G,UNIVERSITY OF COLUMBIA,GSFC,"Retrieval of H2o, HDO and Convective Tracers",(N/A),Adam Sobel,Philip DeCola,5/23/2006,5/15/2006,5/14/2009,Awarded,Distribution
4200156965,NNX06AB02G,SOUTHWEST RESEARCH INSTITUTE,GSFC,DYNAMICS OF SMALL BODIES AND RINGS,(N/A),Luke Dones,Steve Saunders,5/30/2006,5/4/2006,5/3/2009,Awarded,Distribution
4200156964,NNX06AB03G,Proxemy Research Inc.,HQ,Volcanic Plumes on Mars and Venus,(N/A),Lori Glaze,Steve Saunders,6/8/2006,5/15/2006,5/14/2009,Awarded,Distribution
4200156958,NNX06AB04G,CALIFORNIA INSTITUTE OF TECH.,HQ,"RETRIEVAL OF H20, AND CONVECTIVE TRACERS FROM ACE: VALIDATION AND SYNERGISTIC",(N/A),Paul O. Wennberg,Philip Decola,5/31/2006,5/15/2006,5/14/2009,Awarded,Distribution
4200156875,NNX06AB05G,Washington University,HQ,Effects of Rheology on the Dynamics and Evolution of Planetary Interiors,(N/A),VIATCHESLAV SOLOMATOV,STEVE SAUNDERS,5/31/2006,5/16/2006,5/14/2009,Awarded,Distribution
4200156838,NNX06AB06G,Johns Hopkins University,HQ,Understanding and specifying the dayside current circuit and its role in m-1 coupling,(N/A),JESPER GJERLOEV,MARY MELLOT,6/27/2006,5/15/2006,5/14/2007,Awarded,Distribution
4200156877,NNX06AB07G,Arizona State University,GSFC,Studies of Planetary Volcanism,(N/A),Ronald Greeley,Steve Saunders,5/19/2006,5/15/2006,5/14/2007,Awarded,Distribution
4200156681,NNX06AB08A,"NEW MEDIA STUDIO, INC.",HQ,DATA AND INFORMATION LAYER (DIAL),(N/A),BRUCE CARON,MARTHA MAIDEN,6/15/2006,6/1/2006,5/31/2008,Awarded,Distribution
4200165145,NNX06AB09G,WHEELING JESUIT UNIVERSITY,GSFC,CLASSROOM OF THE FUTURE,(N/A),CHARLES WOOD,ROBERT GABRYS,9/27/2006,8/10/2006,8/9/2007,Awarded,Distribution
4200165299,NNX06AB10G,UNIVERSITY OF RHODE ISLAND,GSFC,RESHAPING COMPUTER ENGINEERING EDUCATION AND TRAINING IN THE INFORMATION ERA,(N/A),KEN QING YANG,ROBERT GABRYS,8/31/2006,10/1/2006,9/30/2007,Awarded,Distribution
4200158895/ 159822,NNX06AB14G,UNIVERSITY OF COLORADO,HQ,GAS PHASE CHEMISTRY OF IONS AND MODULES....,(N/A),THEODORE SNOW,PAMELA MARCUM,6/21/2006,5/25/2006,5/24/2009,Awarded,Distribution
4200179022,NNX06AB15G,UNIVERSITY OF IDAHO,GSFC,RADIATION HARD ULTRA LOW POWER (RTULP) ELECTRONICS,(N/A),GARY MAKI,MICHAEL A. JOHNSON,9/28/2006,10/1/2006,3/31/2008,Awarded,Distribution
4200179022,NNX06AB15G S01,UNIVERSITY OF IDAHO,GSFC,SUPPLEMENTAL ADMINISTRATIVE CHANGE ON SPECIAL CONDITIONS PAGE,(N/A),GARY MAKI,MICHAEL JOHNSON,10/17/2006,10/1/2006,3/31/2008,Awarded,Distribution
4200165293,NNX06AB16G,CENTENARY COLLEGE OF NEW JERSEY,GSFC,PROFESSIONAL DEVELOPMENT FOR TEACHERS: ENHANCING QUALITY,(N/A),BRYON GRIGSBY,BRAULIO SANCHEZ,8/30/2006,8/7/2006,8/6/2007,Awarded,Distribution
4200176043,NNX06AB17G,UNIVERSITY OF IDAHO,HQ,DEEP SUBMICRON RADIATION HARD ELECTRONICS STRUCTURED ELECTRONICS AND PATHOGEN DETECTION FOR SPACE AP,(N/A),GARY MAKI,DAVE LAVERY,9/22/2006,9/14/2006,3/13/2008,Awarded,Distribution
4200155925,NNX06AB18G,BROWN UNIVERSITY,HQ,THE ROLE OF WATER IN THE EARLY FORMATION OF MARS,(N/A),LINDA ELKING-TANTON,MARILYN LINDSTROM,6/8/2006,5/10/2006,5/9/2009,Awarded,Distribution
4200156127,NNX06AB19G,Southwest Research Institute,HQ,Coupled-Process Simulations to assess the Distribution of Groundwater on Mars,(N/A),Scott Painter,Marilyn M. Lindstrom,5/31/2006,5/10/2006,5/9/2009,Awarded,Distribution
4200155880,NNX06AB20G,California Institute of Technology,HQ,Acquisition of Oriented Mid-Infrared (100-4000 cm-1) Spectra and Optical Constants for 49 Minerals..,(N/A),George Rossman,Marilyn Lindstrom,6/13/2006,5/10/2006,5/9/2007,Awarded,Distribution
4200156263,NNX06AB21G,Planetary Science Institute,HQ,Assessing the preservation of fluvial pathways,(N/A),Rebecca Williams,Marilyn Lindstrom,6/8/2006,6/1/2006,5/31/2009,Awarded,Distribution
4200179440,NNX06AB22G,UNIVERSITY OF MASSACHUSETTS AT AMHERST,GSFC,US/MEXICO LARGE MILLIMETER TELESCOPE,(N/A),F. PETER SCHLOERB,DOMINIC BENFORD,10/18/2006,10/1/2006,9/30/2007,Awarded,Distribution
4200155943,NNX06AB23G,SETI INSTITUTE,HQ,FORMATION OF MAGNETIC MINERALS ON MARS,(N/A),Janice Bishop,Marilyn Lindstrom,6/2/2006,6/1/2006,5/31/2009,Awarded,Distribution
4200155943,NNX06AB23G S01,SETI INSTITUTE,HQ,SUPPLEMENTAL ADMINISTRATIVE CHANGE TO INCORPORATE  ADDITIONAL GUIDELINES,(N/A),JANICE BISHOP,MARILYN LINSTROM,10/31/2006,6/1/2006,5/31/2009,Awarded,Distribution
4200156040,NNX06AB24G,NORTH DAKOTA STATE UNIVERSITY,GSFC,OPTICAL DATING RESPONSE OF MARS SEDIMENT ANALOGS INCLUDING GEOLOGIC SALTS TO SIMULTANEOUS UV/VIS,(N/A),KENNETH LEPPER,MARILYN LINDSTROM,5/30/2006,5/10/2006,5/9/2008,Awarded,Distribution
4200156156,NNX06AB25G,Arizona State University,HQ,MINERALOGY & MICROSTRUCTURE OF BASALT WEATHERING RINDS AND THEIR SPECTRAL SIGNATURE IN THERMAL INFRARED AND VISIBLE IN NEAR INFRARED SPECTRA,(N/A),THOMAS SHARP,MARILYN LINDSTROM,6/7/2006,6/1/2006,5/31/2009,Awarded,Distribution
4200157263,NNX06AB26G,University of Washington,HQ,Models and Code Calculations of Impact Processes in Asteroids and Solar System Bodies,(N/A),Keith Holsapple,STEVE SAUNDERS,6/13/2006,5/10/2006,5/9/2009,Awarded,Distribution
