Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
4200216004,NNX06AB01G S02,COLUMBIA UNIVERSITY,HQ,ADMINISTRATIVE - CHANGE IN TO,(N/A),ADAM SOBEL,RANGASAYI HALTHORE,1/4/2008,5/15/2006,5/14/2009,Awarded,Distribution
4200252464,NNX06AB01G S03,COLUMBIA UNIVERSITY,HQ,FUNDING - AUGMENTATION,EARTH SCIENCE ENTERPRISE,ADAM SOBEL,DAVID CONSIDINE,6/2/2008,5/15/2006,5/14/2009,Awarded,Distribution
4200259528,NNX06AB01G S04,COLUMBIA UNIVERSITY,HQ,YEAR 3 FUNDING - REVIEWED AND APPROVED FOR FUNDING,EARTH-SUN SYSTEM DIVISION,ADAM H. SOBEL,DAVID CONSIDINE,8/20/2008,5/15/2006,5/14/2009,Awarded,Distribution
4200271642,NNX06AB01G S05,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK INC (COLUMBIA UNIVERSITY),HQ,YEAR 3 INCREMENTAL FUNDING - REVIEWED AND APPROVED FOR FUNDING,EARTH-SUN SYSTEM DIVISION,ADAM H. SOBEL,DAVID CONSIDINE,11/12/2008,5/15/2006,5/14/2009,Awarded,Distribution
4200253596,NNX06AB02G S02,SOUTHWEST RESEARCH INSTITUTE,HQ,YEAR 3 FUNDING - REVIEWED AND APPROVED FOR FUNDING,PLANETARY GEOLOGY AND GEOPHYSICS,"HENRY C DONES, JR.",MICHAEL KELLEY,6/10/2008,5/4/2006,5/3/2009,Awarded,Distribution
4200252849,NNX06AB03G S02,"PROXEMY RESEARCH, INC.",HQ,ADMINISTRATIVE CORRECTIONS TO A COMMERCIAL GRANT & ADMINISTRATIVE CHANGE IN T.O.,PLANETARY GEOLOGY AND GEOPHYSICS PROGRAM,LORI GLAZE,MICHAEL KELLEY,10/21/2008,5/15/2006,5/14/2009,Awarded,Distribution
4200226498,NNX06AB04G S02,CALIFORNIA INSTITUTE OF TECHNOLOGY,HQ,ADMINISTRATIVE - CHANGE IN TO,(N/A),PAUL WENNBERG,RANGASAYI HALTHORE,1/3/2008,5/15/2006,5/14/2009,Awarded,Distribution
4200248823,NNX06AB04G S03,CALIFORNIA INSTITUTE OF TECHNOLOGY,HQ,YEAR 3 FUNDING - REVIEWED AND APPROVED FOR FUNDING,SCIENCE MISSION DIRECTORATE'S EARTH-SUN SYSTEM DIVISION,PAUL WENNBERG,RANGASAYI HALTHORE,5/13/2008,5/15/2006,5/14/2009,Awarded,Distribution
4200247013,NNX06AB05G S02,WASHINGTON UNIVERSITY,HQ,YEAR 3 FUNDING - REVIEWED AND APPROVED FOR FUNDING &  ADMINISTRATIVE CHANGE IN TO,PLANETARY GEOLOGY AND GEOPHYSICS,VIATCHESLAV SOLOMATOV,MICHAEL KELLEY,4/28/2008,5/15/2006,5/14/2009,Awarded,Distribution
4200243321,NNX06AB08A S02,NEW MEDIA RESEARCH INSTITUTE,HQ,YEAR 3 FUNDING - REVIEWED AND APPROVED FOR FUNDING,ADVANCING COLLABORATIVE CONNECTIONS FOR EARTH-SUN SYSTEM SCIENCE,BRUCE CARON,MARTHA MAIDEN,4/7/2008,6/1/2006,5/31/2009,Awarded,Distribution
