Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),NNX06AC31H S11,UNIVERSITY OF HARTFORD,HQ,CONNECTICUT SPACE GRANT CONSORTIUM,NATIONAL SPACE GRANT COLLEGE AND FELLOWSHIP PROGRAM:  FOLLOW-ON AWARDS,THOMAS FILBURN,DIANE D DETROYE,4/16/2012,5/25/2006,8/24/2012,Awarded,Distribution
(N/A),NNX06AD43G S03,BATELLE MEMORIAL INSTITUTE,SSC,PACIFIC NORTHWEST REGIONAL COLLABORATORY (PNWRC),FY06 EARMARK REQUEST FOR PROPOSAL LETTER,STEPHEN GAJEWSKI,TERRY R MCPHERSON,9/21/2012,8/22/2006,4/30/2008,Awarded,Distribution
4200453974,NNX06AD43G S05,BATELLE MEMORIAL INSTITUTE,SSC,PACIFIC NORTHWEST REGIONAL COLLABORATORY (PNWRC),FY06 EARMARK REQUEST FOR PROPOSAL LETTER,STEPHEN GAJEWSKI,TERRY R MCPHERSON,9/28/2012,8/22/2006,4/30/2008,Awarded,Distribution
(N/A),NNX06AD46G S01,BATTELLE MEMORIAL INSTITUTE,SSC,GULF OF MEXICO REGIONAL COLLABORATIVE (GOMRC),FY06 EARMARK REQUEST FOR PROPOSAL LETTER,STEPHEN GAJEWSKI,TERRY R MCPHERSON,9/21/2012,8/14/2006,4/30/2008,Awarded,Distribution
4200453973,NNX06AD46G S07,BATTELLE MEMORIAL INSTITUTE,SSC,GULF OF MEXICO REGIONAL COLLABORATIVE (GOMRC),FY06 EARMARK REQUEST FOR PROPOSAL LETTER,STEPHEN GAJEWSKI,TERRY R MCPHERSON,9/28/2012,8/14/2006,7/22/2009,Awarded,Distribution
(N/A),NNX06AE73A S05,UNIVERSITY OF HAWAII SYSTEMS,GSFC,CIRS PROPOSAL,UNSOLICITED,TOBIAS OWEN,GORDON L BJORAKER,8/7/2012,8/1/2006,7/31/2013,Awarded,Distribution
(N/A),NNX07AB49G S07,THE HISTORY OF SCIENCE SOCIETY,HQ,NASA/HSS FELLOWSHIP IN THE HISTORY OF SPACE SCIENCE,UNSOLICITED,ROBERT J. MALONE,STEPHEN J GARBER,6/12/2012,2/2/2007,8/3/2012,Awarded,Distribution
(N/A),NNX07AB68G S11,REGENTS OF THE UNIVERSITY OF COLORADO,GSFC,TIMED SEE EXPERIMENT - PHASE E,MISSION OPERATIONS AND DATA ANALYSIS PROGRAM,THOMAS N WOODS,RICHARD A GOLDBERG,1/11/2012,1/1/2007,6/30/2012,Awarded,Distribution
4200420701,NNX07AB68G S12,REGENTS OF THE UNIVERSITY OF COLORADO,GSFC,TIMED SEE EXPERIMENT - PHASE E,MISSION OPERATIONS AND DATA ANALYSIS PROGRAM,THOMAS N WOODS,RICHARD A GOLDBERG,1/25/2012,1/1/2007,3/31/2014,Awarded,Distribution
(N/A),NNX07AB68G S13,REGENTS OF THE UNIVERSITY OF COLORADO,GSFC,TIMED SEE EXPERIMENT - PHASE E,MISSION OPERATIONS AND DATA ANALYSIS PROGRAM,THOMAS N WOODS,RICHARD A GOLDBERG,5/14/2012,1/1/2007,3/31/2014,Awarded,Distribution
(N/A),NNX07AB83A S08,UNIVERSITY OF RHODE ISLAND,GRC,SEMI-CONDUCTIVE OXIDES FOR HIGH-TEMPERATURE THIN FILM SENSORS APPLICATIONS,AVIATION SAFETY PROGRAM: AGING AIRCRAFT AND DURABILITY PROJECT,OTTO GREGORY,GUSTAVE C FRALICK,4/20/2012,1/1/2007,7/1/2012,Awarded,Distribution
(N/A),NNX07AC12G S06,SOUTHWEST RESEARCH INSTITUTE,HQ,EARTH-MOON-MARS RADIATION EXPOSURE MODEL (EMMREM),LIVING WITH A STAR TARGETED RESEARCH AND TECHNOLOGY PROGRAM,MIHIR DESAI,MADHULIKA GUHATHAKURTA,10/23/2012,12/1/2006,5/31/2013,Awarded,Distribution
(N/A),NNX07AC72A S10,LELAND JUNIOR STANFORD UNIVERSITY,GRC,EMISSIONS PREDICTION AND MODELING OF SUPERSONIC VEHICLE COMUBSTION SYSTEMS,FUNDAMENTAL AERONAUTICS PROGRAM: SUPERSONICS PROJECT,HEINZ PITSCH,NAN-SUEY LIU,12/5/2012,1/19/2007,9/30/2013,Awarded,Distribution
4200436115,NNX07AD22G S07,UNIVERSITY OF IOWA,GRC,SELF-STRUCTURING IN DUSTY PLASMAS,UNSOLICITED,JOHN GOREE,ARNON CHAIT,6/19/2012,3/1/2007,4/14/2013,Awarded,Distribution
4200417878/ 4200421893,NNX07AD99G S17,GEORGE MASON UNIVERSITY,GSFC,JOINT LABORATORY FOR GEOSCIENCES INTEROPERABILITY PARTNERSHIP,UNSOLICITED,CHAOWEI YANG,MYRA J BAMBACUS,1/19/2012,1/18/2007,1/28/2012,Awarded,Distribution
4200420999,NNX07AE30G S13,CARNEGIE MELLON UNIVERSITY,GRC,ROBOTIC MOBILITY IN LUNAR POLAR TERRAIN,UNSOLICITED,DAVID WETTERGREEN,COLIN M CREAGER,1/12/2012,3/16/2007,12/31/2012,Awarded,Distribution
