Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
"4200328004","NNX09AR78G S01","UNIVERSITY OF TULSA","HQ","FUNDING - YEAR 2 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS","ESTELLE LEVETIN","JOHN HAYNES","2010-02-03","2009-09-01","2013-08-31","Awarded","Distribution"
"4200368209","NNX09AR78G S02","UNIVERSITY OF TULSA","HQ","INTEGRATION OF AIRBORNE DUST PREDICTION SYSTEMS AND VEGETATION PHENOLOGY TO TRACK POLLEN FOR ASTHMA ALERTS IN PUBLIC HEALTH DECISION SUPPORT SYSTEMS","DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS","ESTELLE LEVETIN","JOHN A HAYNES","2010-12-22","2009-09-01","2013-08-31","Awarded","Distribution"
"4200329044","NNX09AR79G S01","UNIVERSITY OF ARIZONA","HQ","FUNDING - YEAR 2 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS","WILLIAM SPRIGG","JOHN HAYNES","2010-02-09","2009-07-31","2014-07-30","Awarded","Distribution"
"4200341472","NNX09AR80G S01","CATHOLIC UNIVERSITY OF AMERICA","GSFC","FUNDING - YEAR 2 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","GEOSPACE SCIENCE PROGRAM","VLADAMIR OSHEROVICH","ROBERT BENSON","2010-05-21","2009-08-10","2013-08-09","Awarded","Distribution"
"4200346636","NNX09AR82H S01","UNIVERSITY OF COLORADO","HQ","FUNDING - YEAR 2 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","NASA EARTH AND SPACE SCIENCE FELLOWSHIP (NESSF) PROGRAM","FRANCES BAGENAL","CURT NIEBUR","2010-07-30","2009-09-01","2011-08-31","Awarded","Distribution"
"4200350886","NNX09AR83H S01","UNIVERSITY OF MICHIGAN","HQ","FUNDING - YEAR 2 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","NASA EARTH AND SPACE SCIENCE FELLOWSHIP (NESSF) PROGRAM","STEPHEN BOUGHER","ROBERT FOGEL","2010-08-04","2009-09-01","2011-08-31","Awarded","Distribution"
"4200349830","NNX09AR84G S01","BOSTON COLLEGE","HQ","FUNDING - YEAR 2 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","GEOSPACE SCIENCE PROGRAM","ENDAWOKE KASSIE","RAMONA KESSEL","2010-07-26","2009-08-04","2011-08-03","Awarded","Distribution"
"4200333750","NNX09AR85H S01","UNIVERSITY OF DELAWARE","HQ","FUNDING - YEAR 2 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","NASA EARTH AND SPACE SCIENCE FELLOWSHIP (NESSF) PROGRAM","CATHY GEIGER","THOMAS WAGNER","2010-05-11","2009-09-01","2011-08-31","Awarded","Distribution"
"4200309218","NNX09AR88G S01","UNIVERSITY OF MARYLAND - BALTIMORE COUNTY","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","FERMI GUEST INVESTIGATOR PROGRAM - CYCLE 2","MARKOS GEORGANOPOULOS","JULIE MCENERY","2010-09-15","2009-10-01","2011-09-30","Awarded","Distribution"
"4200309214","NNX09AR89G S01","SPACE TELESCOPE SCIENCE INSTITUTE","GSFC","ADMINISTRATIVE - 1ST  NO COST EXTENSION","FERMI GUEST INVESTIGATOR PROGRAM - CYCLE 2","RONALD ALLEN","JULIE MCENERY","2010-07-23","2009-08-12","2011-08-11","Awarded","Distribution"
