Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
"4200732629","80NNSC20K0723 P00001","(N/A)","KSC","The Use of Microgravity Simulators for a Mechanistic Understanding of Cytoskeletal-mediated Regulation of Root Growth","RESEARCH OPPORTUNITIES IN SPACE BIOLOGY","ELISON BLANCAFLOR BLANCAFLOR","Ye Zhang","2020-05-18","2018-07-26","2021-07-25","Approved/ Awarded","Distribution"
"4200729965","80NSSC17K0006 P00004","UNIVERSITY OF MARYLAND - COLLEGE PARK","HQ","DECADAL-SCALE VARIABILITY AND TRENDS IN ARCTIC SEA ICE THICKNESS AND VOLUME","STUDIES WITH ICESAT AND CRYOSAT -2","Sinead Farrell","THOMAS WAGNER","2020-04-27","2017-04-24","2020-04-23","Approved/ Awarded","Distribution"
"(N/A)","80NSSC17K0006 P00005","UNIVERSITY OF MARYLAND - COLLEGE PARK","HQ","DECADAL-SCALE VARIABILITY AND TRENDS IN ARCTIC SEA ICE THICKNESS AND VOLUME","STUDIES WITH ICESAT AND CRYOSAT -2","Sinead Farrell","THORSTEN MARKUS","2020-06-09","2017-04-24","2021-06-20","Approved/ Awarded","Distribution"
"(N/A)","80NSSC17K0007 P00003","G & A TECHNICAL SOFTWARE, INC.","GSFC","MODELING WAVE FORCING OF THE COUPLED ATMOSPHERE - IONOSPHERE SYSTEM","HELIOPHYSICS GRAND CHALLENGES RESEARCH","DAVID FRITTS","Ramona Kessel","2020-06-10","2017-06-23","2021-06-22","Approved/ Awarded","Distribution"
"(N/A)","80NSSC17K0008 P00004","UNIVERSITY OF COLORADO - BOULDER","HQ","THE SOLAR DYNAMO REVEALED","HELIOPHYSICS GRAND CHALLENGES RESEARCH","NICHOLAS FEATHERSTONE","Ramona Kessel","2020-06-04","2017-06-23","2021-06-22","Approved/ Awarded","Distribution"
"(N/A)","80NSSC17K0008 P00005","UNIVERSITY OF COLORADO - BOULDER","HQ","THE SOLAR DYNAMO REVEALED","HELIOPHYSICS GRAND CHALLENGES RESEARCH","NICHOLAS FEATHERSTONE","Guan Le","2020-11-12","2017-06-23","2021-06-22","Approved/ Awarded","Distribution"
"(N/A)","80NSSC17K0009 P00003","UNIVERSITY OF NEW HAMPSHIRE","HQ","PHYSICAL ORIGINS OF SUPRATHERMAL ION POPULATIONS THROUGHOUT THE HELIOSPHERE","HELIOPHYSICS GRAND CHALLENGES RESEARCH","NOE LUGAZ","EKATERINA M VERNER","2020-06-24","2017-08-01","2021-07-31","Approved/ Awarded","Distribution"
"(N/A)","80NSSC17K0012 P00004","AUBURN UNIVERSITY","HQ","FAST FLOWS IN THE MAGNETOTAIL AND ENERGETIC PARTICLE TRANSPORT: MULTISCALE COUPLING IN THE MAGNETOSPHERE","HELIOPHYSICS GRAND CHALLENGES RESEARCH","Yu Lin","Ramona Kessel","2020-04-16","2017-06-13","2021-06-12","Approved/ Awarded","Distribution"
"(N/A)","80NSSC17K0013 P00004","UNIVERSITY CORPORATION FOR ATMOSPHERIC R","HQ","THE DYNAMICS AND EFFECTS OF THE SUBAURORAL POLARIZATION STREAMS","HELIOPHYSICS GRAND CHALLENGES RESEARCH","Wenbin Wang","Ramona Kessel","2020-07-13","2017-06-23","2021-06-22","Approved/ Awarded","Distribution"
"(N/A)","80NSSC17K0015 P00003","UNIVERSITY OF MICHIGAN - ANN ARBOR","HQ","OUTFLOW AND GEOSPACE: IMPACT AND FEEDBACK OF HEAVY IONS IN THE MAGNETOSPHERE","HELIOPHYSICS GRAND CHALLENGES RESEARCH","Michael Liemohn","Ekaterina Verner","2020-06-25","2017-06-23","2021-06-22","Approved/ Awarded","Distribution"
