Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
"4200672120","80NNSC20K0723","(N/A)","KSC","The Use of Microgravity Simulators for a Mechanistic Understanding of Cytoskeletal-mediated Regulation of Root Growth","RESEARCH OPPORTUNITIES IN SPACE BIOLOGY","ELISON BLANCAFLOR BLANCAFLOR","Ye Zhang","2018-08-22","2018-07-26","2021-07-25","Approved/ Awarded","Distribution"
"4200663898","80NSSC17K0006 P00002","UNIVERSITY OF MARYLAND - COLLEGE PARK","HQ","DECADAL-SCALE VARIABILITY AND TRENDS IN ARCTIC SEA ICE THICKNESS AND VOLUME","STUDIES WITH ICESAT AND CRYOSAT -2","Sinead Farrell","THOMAS WAGNER","2018-05-30","2017-04-24","2020-04-23","Approved/ Awarded","Distribution"
"4200656283","80NSSC17K0006 S001","UNIVERSITY OF MARYLAND - COLLEGE PARK","HQ","DECADAL-SCALE VARIABILITY AND TRENDS IN ARCTIC SEA ICE THICKNESS AND VOLUME","STUDIES WITH ICESAT AND CRYOSAT -2","Sinead Farrell","THOMAS WAGNER","2018-03-19","2017-04-24","2020-04-23","Approved/ Awarded","Distribution"
"4200669584","80NSSC17K0007 P00001","G & A TECHNICAL SOFTWARE, INC.","GSFC","MODELING WAVE FORCING OF THE COUPLED ATMOSPHERE - IONOSPHERE SYSTEM","HELIOPHYSICS GRAND CHALLENGES RESEARCH","DAVID FRITTS","Ramona Kessel","2018-07-13","2017-06-23","2020-06-22","Approved/ Awarded","Distribution"
"4200668829","80NSSC17K0008 P00002","UNIVERSITY OF COLORADO ? BOULDER","HQ","THE SOLAR DYNAMO REVEALED","HELIOPHYSICS GRAND CHALLENGES RESEARCH","NICHOLAS FEATHERSTONE","Ramona Kessel","2018-07-10","2017-06-23","2020-06-22","Approved/ Awarded","Distribution"
"4200666475","80NSSC17K0009 P00001","UNIVERSITY OF NEW HAMPSHIRE","HQ","PHYSICAL ORIGINS OF SUPRATHERMAL ION POPULATIONS THROUGHOUT THE HELIOSPHERE","HELIOPHYSICS GRAND CHALLENGES RESEARCH","NOE LUGAZ","Ramona Kessel","2018-07-18","2017-08-01","2020-07-31","Approved/ Awarded","Distribution"
"4200669585","80NSSC17K0012 P00001","AUBURN UNIVERSITY","HQ","FAST FLOWS IN THE MAGNETOTAIL AND ENERGETIC PARTICLE TRANSPORT: MULTISCALE COUPLING IN THE MAGNETOSPHERE","HELIOPHYSICS GRAND CHALLENGES RESEARCH","Yu Lin","Ramona Kessel","2018-07-20","2017-06-13","2020-02-12","Approved/ Awarded","Distribution"
"4200672950","80NSSC17K0013 P00001","UNIVERSITY CORPORATION FOR ATMOSPHERIC R","HQ","THE DYNAMICS AND EFFECTS OF THE SUBAURORAL POLARIZATION STREAMS","HELIOPHYSICS GRAND CHALLENGES RESEARCH","Wenbin Wang","Ramona Kessel","2018-08-21","2017-06-23","2020-06-22","Approved/ Awarded","Distribution"
"4200678703","80NSSC17K0013 P00002","UNIVERSITY CORPORATION FOR ATMOSPHERIC R","HQ","THE DYNAMICS AND EFFECTS OF THE SUBAURORAL POLARIZATION STREAMS","HELIOPHYSICS GRAND CHALLENGES RESEARCH","Wenbin Wang","Ramona Kessel","2018-09-21","2017-06-23","2020-06-22","Approved/ Awarded","Distribution"
"4200671544","80NSSC17K0014 P00001","UNIVERSITY OF CALIFORNIA - LOS ANGELES","HQ","MULTISCALE NATURE OF PLASMA ACCELERATION AND ENERGIZATION AT EARTH'S MAGNETOSPHERE","HELIOPHYSICS GRAND CHALLENGES RESEARCH","Jean Berchem","Ramona Kessel","2018-07-25","2017-07-19","2020-07-18","Approved/ Awarded","Distribution"
