Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),80NSSC18K1436 P00005,Smithsonian Institution,HQ,Characterizing the Mysterious Linear Virgae Across the Mid-sized Satellites in the Saturnian System,(N/A),EMILY MARTIN,NICHOLAS LANG,1/3/2023,9/1/2018,8/31/2023,Approved/ Awarded,Distribution
"4200824950, 4200820558",80NSSC19K1082 P00006,Arizona State University,GSFC,Measuring the cosmological evolution of gas and galaxies with the EXperiment for Cryogenic Large-aperture Intensity Mapping (EXCLAIM),RESEARCH OPPORTUNITIES IN SPACE AND EARTH SCIENCES,PHILIP MAUSKOPF,Eric Switzer,1/3/2023,5/28/2019,5/27/2024,Approved/ Awarded,Distribution
(N/A),80NSSC19K1361 P00004,Brown University,HQ,HIDDEN LAKES: HIGH RESOLUTION WATER MAPPING AND METHANE EMISSIONS OVER THE ABOVE DOMAIN,FUTURE INVESTIGATORS IN NASA EARTH AND SPACE SCIENCE AND TECHNOLOGY (FINESST)-2019 NEW PROPOSALS,Laurence Smith,Allison Leidner,1/3/2023,1/1/2020,12/31/2023,Approved/ Awarded,Distribution
(N/A),80NSSC20K0297 P00004,UNIVERSITY OF CALIFORNIA - LOS ANGELES,HQ,HYPERGOLIC ROTATING DETONATION ROCKET PROPULSION WITH LOW PRESSURE-LOSS INJECTION AND ADVANCED THERMAL MANAGEMENT,EARLY STAGE INNOVATIONS (ESI),Raymond Spearrin,HUNG NGUYEN,1/3/2023,1/13/2020,1/12/2024,Approved/ Awarded,Distribution
(N/A),80NSSC20K0525 P00004,University of California at Santa Barbara,HQ,RADIATION MHD SIMULATIONS OF NEUTRON STAR ACCRETION COLUMNS IN X-RAY PULSARS AND ULTRA-LUMINOUS X-RAY SOURCES,ASTROPHYSICS THEORY PROGRAM,OMER BLAES,Sanaz Vahidinia,1/3/2023,1/7/2020,1/6/2024,Approved/ Awarded,Distribution
(N/A),80NSSC20K0615 P00004,Woods Hole Oceanographic Institution,HQ,THALLIUM ISOTOPE FRACTIONATION DURING SORPTION TO MANGANESE OXIDES: CALIBRATION OF A NOVEL OCEAN REDOX PALEO-PROXY,EXOBIOLOGY,SUNE NIELSEN,Lindsay Hays,1/3/2023,1/30/2020,1/29/2024,Approved/ Awarded,Distribution
(N/A),80NSSC20K1568 P00002,University Of Maryland Baltimore County,GSFC,THE RETURN OF THE IC/CMB MODEL: SEARCHING FOR INVERSE COMPTON PLATEAUS FROM JETS WITH FERMI,Fermi Guest Investigator Cycle 13,Eileen Meyer,ELIZABETH HAYS,1/3/2023,12/17/2020,12/16/2023,Approved/ Awarded,Distribution
4200823449,80NSSC21K0747 P00003,Columbia University in the City of New York,HQ,"IDENTIFYING CHARACTERISTICS OF ICE SHELF BASAL MELT AND CREVASSES, USING AIRBORNE RADAR AND SATELLITE MEASUREMENTS, TO ASSESS FEEDBACKS BETWEEN OCEAN VARIABILITY AND BASAL ROUGHNESS",A.17 CRYOSPHERIC SCIENCE,INDRANI DAS,THORSTEN MARKUS,1/3/2023,3/15/2021,3/14/2024,Approved/ Awarded,Distribution
4200820501,80NSSC21K0832 P00003,UNIVERSITY OF WASHINGTON,HQ,SALINITY AND STRATIFICATION AT THE SEA ICE EDGE,A.13 OCEAN SALINITY FIELD CAMPAIGN,Kyla Drushka,Nadya Vinogradova Shiffer,1/3/2023,5/17/2021,5/16/2024,Approved/ Awarded,Distribution
(N/A),80NSSC21K1462 P000001,University of Maryland at College Park,GSFC,Comparing MMS observations of lower-hybrid drift waves in the electron diffusion region with PIC simulation,single source,Jonathan Ng,Li-Jen Chen,1/3/2023,1/1/2022,12/31/2023,Approved/ Awarded,Distribution
4200818966,80NSSC21K1569 P00002,The Johns Hopkins University,HQ,Feeding and feedback in the circumgalactic medium at the peak epoch of quasar activity,D.2 Astrophysics Data Analysis,NADIA ZAKAMSKA,DOUGLAS HUDGINS,1/3/2023,7/19/2021,7/18/2024,Approved/ Awarded,Distribution
4200816552,80NSSC21K1856 P00001,NORTHWESTERN UNIVERSITY,GSFC,Supernova Remnant Observations with Micro-X COVID Extension,E.10 SMD call for COVID Augmentations and Funded Extensions,ENECTALI FIGUEROA,JULIE BLOXOM,1/3/2023,8/18/2021,8/31/2023,Approved/ Awarded,Distribution
4200819450,80NSSC21K1973 P00002,UNIVERSITY OF OREGON,HQ,Role of clouds on Greenland Ice Sheet surface melt,"A.33 The Science of Terra, Aqua, and Suomi-NPP",Jonathan Ryan,THORSTEN MARKUS,1/3/2023,9/20/2021,8/31/2024,Approved/ Awarded,Distribution
4200820059,80NSSC22K0078 P00001,(N/A),GSFC,Plasma Measurements for Geotail,(N/A),KENT ACKERSON,Guan Le,1/3/2023,1/1/2022,12/31/2024,Approved/ Awarded,Distribution
(N/A),80NSSC22K0166 P00001,The President and Fellows of Harvard College,GSFC,Radial Velocity Measurements With HARPS-N To Uncover The Formation Pathway Of Keystone Planets Around M Dwarfs,D.10 TESS Guest Investigator Cycle 4,DAVID CHARBONNEAU,Knicole Colon,1/3/2023,1/1/2022,12/31/2023,Approved/ Awarded,Distribution
4200823950,80NSSC22K0253 P00003,Duke University,ARC,A multi- omics and multi-species examination of combined environmental stressors of space exploration,(N/A),DAWN BOWLES,YURI GRIKO,1/3/2023,12/1/2021,11/30/2024,Approved/ Awarded,Distribution
(N/A),80NSSC22K0392 P00001,UNIVERSITY OF WASHINGTON,GSFC,"ICESat-2 Sea Ice ATBD: Support of revisions, improvements, development, and validation support",NASA Unsolicited Proposals,RONALD  KWOK,MICHAEL STUDINGER,1/3/2023,2/1/2022,5/31/2023,Approved/ Awarded,Distribution
4200814333,80NSSC23K0303,"ImageCat, Inc.",HQ,Advancing Access to Global Flood Modeling and Alerting using the PDC DisasterAWARE Platform and Remote Sensing Technologies,Disaster Risk Reduction and Response Advancing Access to Global Flood Modeling and Alerting,Guy Schumann,Shanna McClain,1/4/2023,8/23/2022,8/22/2023,Approved/ Awarded,Distribution
4200822881,80NSSC23K0368,UNIVERSITY OF VERMONT,JSC,Molecular mechanisms in a hypervirulent Klebsiella pneumoniae strain isolated from ISS that subdues host defenses and promotes virulence,2020 HERO Appendix B: NASA Human Research Program Omnibus Opportunity,Matthew  Wargo,LUCY BARNES-MOTEN,1/3/2023,4/1/2021,3/31/2022,Approved/ Awarded,Distribution
(N/A),NNX13AN34G S029,Loma Linda University,ARC,IMPACT OF SPACEFLIGHT ON PRIMARY AND SECONDARY ANTIBODY RESPONSES,RESEARCH OPPORTUNITIES IN SPACE BIOLOGY,MICHAEL PECAUT,YURI GRIKO,1/3/2023,9/1/2013,7/31/2023,Approved/ Awarded,Distribution
4200823043,NNX16AO69A S047,BAYLOR COLLEGE OF MEDICINE,JSC,THE ESTABLISHMENT OF THE HUMAN RESEARCH PROGRAM TRANSLATIONAL RESEARCH INSTITUTE,HUMAN EXPLORATION AND OPERATIONS MISSION DIRECTORATE,Dorit Donoviel,Lucia Mccullough,1/3/2023,10/1/2016,7/31/2023,Approved/ Awarded,Distribution
(N/A),NNX17AK79A S019,"University of Colorado, Boulder",JSC,SUPPORT OF NASA JSC-EV EXPLORATION WIRELESS COMMUNICATIONS (EXWC) TESTBED,UNSOLICITED,Kevin Gifford,Raymond Wagner,1/3/2023,5/12/2017,12/31/2023,Approved/ Awarded,Distribution
