Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
4200291924,NNX08AM90G S01,ARIZONA STATE UNIVERSITY,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,PLANETARY GEOLOGY AND GEOPHYSICS PROGRAM,RONALD GREELEY,MICHAEL KELLEY,5/27/2009,9/1/2008,7/31/2011,Awarded,Distribution
4200281533,NNX08AM91G S01,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,PLANETARY GEOLOGY AND GEOPHYSICS PROGRAM,ALAN HOWARD,MICHAEL KELLEY,2/3/2009,4/16/2008,4/15/2011,Awarded,Distribution
4200285023,NNX08AM92G S01,SOUTHWEST RESEARCH INSTITUTE,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,PLANETARY GEOLOGY AND GEOPHYSICS,ROBERT GRIMM,MICHAEL KELLEY,3/13/2009,4/16/2008,4/15/2011,Awarded,Distribution
4200284062,NNX08AM93G S01,SOUTHWEST RESEARCH INSTITUTE,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,PLANETARY GEOLOGY AND GEOPHYSICS,NATHANIEL PUTZIG,MICHAEL KELLEY,2/27/2009,4/16/2008,4/15/2011,Awarded,Distribution
4200291627,NNX08AM95G S02,CREATIVE COMPETITIONS INC.,GSFC,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,UNSOLICITED,SAMUEL MICKLUS,STEVEN PLATNICK,5/6/2009,5/1/2008,4/30/2013,Awarded,Distribution
4200286886,NNX08AM97G S01,UNIVERSITY OF COLORADO - BOULDER,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,PLANETARY INSTRUMENT DEFINITION AND DEVELOPMENT PROGRAM,KELVIN WAGNER,JOHNATHAN RALL,5/26/2009,4/22/2008,4/21/2011,Awarded,Distribution
4200286886,NNX08AM97G S02,UNIVERSITY OF COLORADO - BOULDER,HQ,ADMINISTRATIVE - T.O. CHANGE,PLANETARY INSTRUMENT DEFINITION AND DEVELOPMENT PROGRAM,KELVIN WAGNER,JANICE BUCKNER,12/9/2009,4/22/2008,4/21/2011,Awarded,Distribution
4200293297,NNX08AM98G S01,NORTHERN ILLINOIS UNIVERSITY,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,MARS DATA ANALYSIS,WEI LUO,ROBERT FOGEL,6/2/2009,5/15/2008,5/14/2011,Awarded,Distribution
4200286884,NNX08AM99G S01,UNIVERSITY OF COLORADO - BOULDER,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,PLANETARY INSTRUMENT DEFINITION AND DEVELOPMENT PROGRAM,EBERHARD GRUEN,JOHNATHAN RALL,5/29/2009,6/1/2008,5/31/2010,Awarded,Distribution
4200286884,NNX08AM99G S02,UNIVERSITY OF COLORADO - BOULDER,HQ,ADMINISTRATIVE - T.O. CHANGE,PLANETARY INSTRUMENT DEFINITION AND DEVELOPMENT PROGRAM,EBERHARD GRUEN,JANICE BUCKNER,12/9/2009,6/1/2008,5/31/2010,Awarded,Distribution
4200286884,NNX08AM99G S03,UNIVERSITY OF COLORADO - BOULDER,HQ,ADMINISTRATIVE - INTERNAL MISSPELLED TO'S LAST NAME,PLANETARY INSTRUMENT DEFINITION AND DEVELOPMENT PROGRAM,EBERHARD GRUEN,JANICE BUCKNER,12/16/2009,6/1/2008,5/31/2010,Awarded,Distribution
4200248074,NNX08AN01G S01,GEORGIA TECH RESEARCH CORPORATION,MSFC,ADMINISTRATIVE - CHANGE,UNSOLICITED,ANTHONY CALISE,TANNEN VANZWIETEN,2/19/2009,5/1/2008,4/30/2009,Awarded,Distribution
4200248074,NNX08AN01G S02,GEORGIA TECH RESEARCH CORPORATION,MSFC,ADMINISTRATIVE - NO COST EXTENSION,UNSOLICITED,ANTHONY CALISE,TANNEN VANZWIETEN,5/14/2009,5/1/2008,9/30/2009,Awarded,Distribution
4200297952,NNX08AN01G S03,GEORGIA TECH RESEARCH CORPORATION,MSFC,FUNDING ? YEAR 2 REVIEWED AND APPROVED FOR FUNDING,UNSOLICITED,ANTHONY CALISE,TANNEN VANZWIETEN,6/8/2009,5/1/2008,9/30/2009,Awarded,Distribution
4200297952,NNX08AN01G S04,GEORGIA TECH RESEARCH CORPORATION,MSFC,ADMINISTRATIVE - NO COST EXTENSION,UNSOLICITED,ANTHONY CALISE,TANNEN VANZWIETEN,9/11/2009,5/1/2008,9/30/2010,Awarded,Distribution
4200308766,NNX08AN02G S01,UNIVERSITY OF TEXAS AT AUSTIN,JSC,FUNDING - INCREMENTAL YEAR 2 REVIEWED AND APPROVED FOR FUNDING,UNSOLICITED,CESAR OCAMPO,GERALD CONDON,8/19/2009,6/16/2008,6/15/2013,Awarded,Distribution
4200320282,NNX08AN02G S02,UNIVERSITY OF TEXAS AT AUSTIN,JSC,FUNDING - INCREMENTAL YEAR 2 REVIEWED AND APPROVED FOR FUNDING,UNSOLICITED,CESAR OCAMPO,GERALD CONDON,11/24/2009,6/16/2008,6/15/2013,Awarded,Distribution
4200286797,NNX08AN03G S02,CORNELL UNIVERSITY,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,PLANETARY INSTRUMENT DEFINITION AND DEVELOPMENT PROGRAM,DON BANFIELD,JONATHAN A. RALL,5/29/2009,7/1/2008,6/30/2011,Awarded,Distribution
4200286797,NNX08AN03G S03,CORNELL UNIVERSITY,HQ,ADMINISTRATIVE - T.O. CHANGE,PLANETARY INSTRUMENT DEFINITION AND DEVELOPMENT PROGRAM,DON BANFIELD,JANICE BRUCKNER,12/9/2009,7/1/2008,6/30/2011,Awarded,Distribution
4200286885,NNX08AN04G S01,UNIVERSITY OF MARYLAND- COLLEGE PARK,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,A SENSITIVE BROADBAND SEISMOMETER FOR LUNAR/PLANETARY EXPLORATION,HO JUNG PAIK,JONATHAN RALL,6/4/2009,5/7/2008,5/6/2012,Awarded,Distribution
4200286885,NNX08AN04G S02,UNIVERSITY OF MARYLAND - COLLEGE PARK,HQ,ADMINISTRATIVE - T.O. CHANGE,PLANETARY INSTRUMENT DEFINITION AND DEVELOPMENT PROGRAM,HO JUNG PAIK,JANICE BUCKNER,12/9/2009,5/7/2008,5/6/2012,Awarded,Distribution
