Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),NNX07AJ53G S12,(N/A),HQ,"CAPITALIZING ON SCIENCES, TECHNOLOGY, AND INNOVATIONS; AN ASSESSMENT OF THE SMALL BUSINESS INNOVATION RESEARCH PROGRAM-PHASE II",UNSOLICITED,CHARLES W WESSNER,RICHARD B LESHNER,12/15/2015,6/1/2007,4/30/2016,Work In Progress,Receiving
(N/A),NNX07AR59G S08,Catholic University of America,HQ,SURFACE ELEMENTAL ANALYSIS OF MERCURY WITH THE MESSENGER GEOCHEMISTRY,MESSENGER MISSION PARTICIPATING SCIENTISTS,RICHARD D STARR,EDWIN J GRAYZECK,6/26/2015,8/15/2007,8/14/2016,Work In Progress,Receiving
(N/A),NNX07AR60G S08,Smithsonian Institution,HQ,GLOBAL CHARACTERIZATION AND ANALYSIS OF TECTONISM ON MERCURY,MESSENGER PARTICIPATING SCIENTIST PROGRAM,THOMAS R WATTERS,EDWIN J GRAYZECK,7/9/2015,8/15/2007,8/14/2016,Work In Progress,Administrative |
(N/A),NNX07AR61G S08,University of Maryland-Baltimore County,HQ,ADVANCED MHD MODELING OF THE MAGNETOSPHERE OF MERCURY TO SUPPORT THE MESSENGER MISSION,MESSENGER MISSION PARTICIPATING SCIENTISTS,MEHDI BENNA,EDWIN J GRAYZECK,8/27/2015,8/15/2007,8/14/2016,Work In Progress,Distribution
(N/A),NNX07AR62G S08,University of California-Los Angeles,HQ,UNDERSTANDING MERCURY'S MAGNETOSPHERE USING MESSENGER DATEA AND GLOBAL KINETIC SIMULATIONS,RESEARCH OPPORTUNITIES IN SPACE AND EARTH SCIENCES - 2006,DAVID SCHRIVER,EDWIN J GRAYZECK,7/1/2015,8/15/2007,8/14/2016,Work In Progress,Receiving
(N/A),NNX07AR63G S10,JOHNS HOPKINS UNIVERSITY,HQ,A COMPREHENSIVE INVESTIGATION OF MERCURY'S EXOSPHERE:  A MESSENGER PARTICIPATING SCIENTIST PROPOSAL,MESSENGER MISSION PARTICIPATING SCIENTISTS PROGRAM,RONALD VERVACK,EDWIN J GRAYZECK,7/1/2015,8/15/2007,3/31/2016,Work In Progress,Package Processing
(N/A),NNX07AR64G S09,University of California-Los Angeles,HQ,FUNDING - INCREMENTAL,MESSENGER PARTICIPATING SCIENTIST PROGRAM,DAVID A PAIGE,ED GRAYZECK,7/20/2015,8/15/2007,8/14/2016,Work In Progress,Distribution
(N/A),NNX07AR75G S13,UNIVERSITY OF HAWAII,HQ,INTEGRATING MESSENGER DATA TO INVESTIGATE THE ORIGIN OF MERCURY'S INTERCRATER AND SMOOTH PLAINS DEPOSITS,MESSENGER MISSION PARTICIPATING SCIENTISTS,JEFFREY J GILLIS-DAVIS,EDWIN GRAYZECK,6/9/2015,8/15/2007,8/17/2016,Work In Progress,Package Processing
(N/A),NNX07AR77G S09,CASE WESTERN RESERVE UNIVERSITY,HQ,CONTRIBUTIONS TO MESSENGER AND THE GEOPHYSICAL STRUCTURE AND EVOLUTION OF MERCURY,MESSENGER PARTICIPATING SCIENTIST PROGRAM,STEVEN A HAUCK II,EDWIN J GRAYZECK,6/22/2015,8/15/2007,8/14/2016,Work In Progress,Receiving
4200560686,NNX08AB07G S10,National Academy of Sciences,HQ,BOARD ON ATMOSPHERIC SCIENCES AND CLIMATE ACTIVITIES IN SUPPORT OF NASA'S MISSIONS,UNSOLICITED,CHRIS ELFRING,JACK A. KAYE,9/2/2015,10/15/2007,10/14/2016,Work In Progress,Receiving
(N/A),NNX08AB07G S11,National Academy of Sciences,HQ,BOARD ON ATMOSPHERIC SCIENCES AND CLIMATE ACTIVITIES IN SUPPORT OF NASA'S MISSIONS,UNSOLICITED,AMANDA C. STAUDT,JACK A. KAYE,9/9/2015,10/15/2007,10/14/2016,Work In Progress,Receiving
4200537708,NNX08AC28A S62,Universities Space Research Association-USRA,HQ,OPERATION OF THE LUNAR AND PLANETARY INSTITUTE,NASA ASTROBIOLOGY INSTITUTE - CYCLE 3,STEPHEN MACKWELL,MAX P BERNSTEIN,1/12/2015,1/1/2008,12/31/2015,Work In Progress,Receiving
4200539484,NNX08AC28A S63,Universities Space Research Association-USRA,HQ,OPERATION OF THE LUNAR AND PLANETARY INSTITUTE,NASA ASTROBIOLOGY INSTITUTE - CYCLE 3,STEPHEN MACKWELL,MAX P BERNSTEIN,1/27/2015,1/1/2008,12/31/2015,Work In Progress,Receiving
4200545587,NNX08AC28A S64,Universities Space Research Association-USRA,HQ,OPERATION OF THE LUNAR AND PLANETARY INSTITUTE,NASA ASTROBIOLOGY INSTITUTE - CYCLE 3,STEPHEN MACKWELL,MAX P BERNSTEIN,3/23/2015,1/1/2008,12/31/2015,Work In Progress,Receiving
4200554094,NNX08AC28A S65,Universities Space Research Association-USRA,HQ,OPERATION OF THE LUNAR AND PLANETARY INSTITUTE,NASA ASTROBIOLOGY INSTITUTE - CYCLE 3,STEPHEN MACKWELL,MAX P BERNSTEIN,6/5/2015,1/1/2008,12/31/2015,Work In Progress,Receiving
(N/A),NNX08AC28A S66,Universities Space Research Association-USRA,HQ,OPERATION OF THE LUNAR AND PLANETARY INSTITUTE,NASA ASTROBIOLOGY INSTITUTE - CYCLE 3,STEPHEN MACKWELL,MAX P BERNSTEIN,7/8/2015,1/1/2008,12/31/2015,Work In Progress,Receiving
4200566383,NNX08AC28A S67,Universities Space Research Association-USRA,HQ,OPERATION OF THE LUNAR AND PLANETARY INSTITUTE,NASA ASTROBIOLOGY INSTITUTE - CYCLE 3,STEPHEN MACKWELL,MAX P BERNSTEIN,9/16/2015,1/1/2008,12/31/2015,Work In Progress,Receiving
(N/A),NNX08AC28A S68,(N/A),HQ,OPERATION OF THE LUNAR AND PLANETARY INSTITUTE,NASA ASTROBIOLOGY INSTITUTE - CYCLE 3,Stephen Mackwell,MAX P BERNSTEIN,10/21/2015,1/1/2008,12/31/2015,Work In Progress,Receiving
(N/A),NNX08AM73G S07,Smithsonian Institution,HQ,TECTONISM ON THE MOON: GLOBAL CHARACTERIZATION AND ANALYSIS OF LUNAR FAULTS,LUNAR RECONNAISSANCE ORBITER PARTICIPATING SCIENTISTS,THOMAS R WATTERS,EDWIN J GRAYZECK,5/7/2015,4/18/2008,4/17/2016,Work In Progress,Package Processing
(N/A),NNX08AN30G S09,Johns Hopkins University/Applied Physics Lab,HQ,INVESTIGATING MERCURY'S COMPOSITION AND GEOLOGY USING ORBITAL NEUTRON SPECTROSCOPY,MESSENGER MISSION PARTICIPATING SCIENTISTS,DAVID J. LAWRENCE,ED GRAYZECK,4/10/2015,4/24/2008,6/30/2016,Work In Progress,Receiving
(N/A),NNX08AP33A S10,UNIVERSITY OF MARYLAND - COLLEGE PARK,HQ,EARTH SCIENCE DATA RECORDS OF GLOBAL FOREST CHANGE,MAKING EARTH SYSTEM DATA RECORDS FOR USE IN RESEARCH ENVIRONMENTS,JOHN TOWNSHEND,LUCIA S TSAOUSSI,1/30/2015,5/12/2008,5/11/2015,Awarded,Distribution
(N/A),NNX09AB54G S11,LOWELL OBSERVATORY,HQ,KSS-THE KUIPER SPECTRAL SURVEY:  A LARGE SCALE COMPOSITIONAL STUDY OF THE KUIPER BELT,PLANETARY ASTRONOMY PROGRAM,HENRY ROE,KELLY FAST,3/13/2015,3/1/2009,2/28/2017,Work In Progress,Distribution
4200556857,NNX09AB54G S12,LOWELL OBSERVATORY,HQ,KSS-THE KUIPER SPECTRAL SURVEY:  A LARGE SCALE COMPOSITIONAL STUDY OF THE KUIPER BELT,PLANETARY ASTRONOMY PROGRAM,HENRY ROE,KELLY FAST,7/2/2015,3/1/2009,2/28/2017,Work In Progress,Receiving
(N/A),NNX09AB85G S07,University of Central Florida,HQ,EXPERIMENTAL AND NUMERICAL STUDIES OF THE EARLY STAGES OF PLANETESIMAL FORMATION,ORIGINS OF SOLAR SYSTEMS,JOSH COLWELL,MAX P BERNSTEIN,7/22/2015,1/1/2009,12/31/2015,Work In Progress,Package Processing
(N/A),NNX09AE40G S07,UNIVERSITY OF MINNESOTA,HQ,INVOLVING PARENTS AND CHILDREN FROM UNDER-REPRESENTED COMMUNITIES IN STEM LEARNING,EDUCATION & PUBLIC OUTREACH FOR EARTH & SPACE SCIENCE (EPOESS) PROGRAM,CYNTHIA A. CATTELL,THERESE A KUCERA,1/15/2015,1/8/2009,4/6/2015,Awarded,Distribution
(N/A),NNX09AE47G S07,UNIVERSITY OF WASHINGTON,HQ,ANTARCTIC AND GREENLAND DATA ANALYSIS IN SUPPORT OF THE ICESAT-II SCIENCE DEFINITION TEAM,ICESAT-II SCIENCE DEFINITION TEAM,BENJAMIN SMITH,THOMAS WAGNER,2/5/2015,3/1/2009,2/29/2016,Work In Progress,Receiving
4200555826,NNX09AE47G S08,UNIVERSITY OF WASHINGTON,HQ,ANTARCTIC AND GREENLAND DATA ANALYSIS IN SUPPORT OF THE ICESAT-II SCIENCE DEFINITION TEAM,ICESAT-II SCIENCE DEFINITION TEAM,BENJAMIN SMITH,THOMAS WAGNER,6/26/2015,3/1/2009,2/29/2016,Work In Progress,Distribution
(N/A),NNX09AE72G S06,Johns Hopkins University/Applied Physics Lab,HQ,INVESTIGATING CO2 AND OTHER NON-ICE MATERIALS IN THE SURFACES OF THE ICY SATURNIAN SATELLITES,CASSINI DATA ANALYSIS PROGRAM (CDAP),CHARLES HIBBITTS,MAX P BERNSTEIN,2/18/2015,6/1/2009,6/30/2016,Work In Progress,Package Prep
4200538544,NNX09AE85G S14,UNIVERSITY OF WISCONSIN,HQ,INVESTIGATION OF THE VENUS ATMOSPHERIC DYNAMICS FROM VMC AND VIRTIS: INSTRUMENTS ON VENUS EXPRESS,ORIGINS SCIENCE MISSION CONCEPT STUDIES,SANJAY LIMAYE,ADRIANA C OCAMPO,1/20/2015,1/27/2009,9/30/2015,Work In Progress,Receiving
(N/A),NNX09AE85G S15,University of Wisconsin - Madison,HQ,INVESTIGATION OF THE VENUS ATMOSPHERIC DYNAMICS FROM VMC AND VIRTIS: INSTRUMENTS ON VENUS EXPRESS,ORIGINS SCIENCE MISSION CONCEPT STUDIES,SANJAY LIMAYE,ADRIANA C OCAMPO,8/10/2015,1/27/2009,4/30/2016,Work In Progress,Receiving
(N/A),NNX09AF78G S07,Carnegie Institution of Washington,HQ,"CHONDRULES, CAIS AND MATRIX: HOW DID THEY FORM AND HOW ARE THEY RELATED?",ORIGINS OF SOLAR SYSTEMS,CONEL ALEXANDER,MAX P BERNSTEIN,2/18/2015,3/1/2009,6/30/2015,Work In Progress,Distribution
(N/A),NNX09AG39G S08,UNIVERSITY OF CHICAGO,HQ,ISOTOPIC AND CHEMICAL STUDIES OF THE SOLAR SYSTEM AND ITS PRECURSOR MATERIAL,COSMOCHEMISTRY PROGRAM,ANDREW DAVIS,JEFFREY N GROSSMAN,3/3/2015,3/12/2009,3/11/2016,Work In Progress,Receiving
(N/A),NNX09AJ22G S10,UNIVERSITY OF COLORADO - BOULDER,HQ,PHYSICAL MODELING OF THE RADIATIVE SUN-EARTH CONNECTION,LIVING WITH A STAR TARGETED RESEARCH AND TECHNOLOGY,THOMAS WOODS,MADHULIKA GUHATHAKURTA,4/15/2015,6/1/2009,11/30/2015,Work In Progress,Receiving
(N/A),NNX09AJ63G S08,"University of Michigan, Regents of the",HQ,TO THE DEPTHS OF VENUS: A COMPREHENSIVE EXPLORATION OF THE ATMOSPHERIC DYNAMICS AND CHEMISTRY ON OUR SISTER WORLD,UNSOLICITED,SUSHIL ATREYA,ADRIANA C OCAMPO,8/24/2015,7/1/2009,9/30/2016,Work In Progress,Receiving
(N/A),NNX09AJ83G S08,University Corporation For Atmospheric Research - UCAR/NCAR,HQ,INTEGRATED MODELING OF THE ATMOSPHERE-IONOSPHERE SYSTEM,LIVING WITH A STAR TARGETED RESEARCH AND TECHNOLOGY,ROLANDO J GARCIA,MADHULIKA GUHATHAKURTA,6/15/2015,7/1/2009,6/30/2016,Work In Progress,Receiving
(N/A),NNX09AJ85G S09,University of California-Los Angeles,HQ,USING DYNAMO MODELS AND DATA ASSIMILATION METHODS FOR MODELING AND FORECASTING PROPERTIES OF SOLAR CYCLES,LIVING WITH A STAR TARGETED RESEARCH AND TECHNOLOGY (TR&T),FRIEDRICH BUSSE,MADHULIKA GUHATHAKURTA,4/22/2015,5/4/2009,9/3/2015,Work In Progress,Receiving
(N/A),NNX09AK32G S07,TRUSTEES OF COLUMBIA UNIVERSITY,HQ,CLIMATE AND CHEMISTRY CHANGES FROM 1975 TO 2000 AS OBSERVED AND MODELED IN THE COUPLED CHEMISTRY - AEROSOL - CLIMATE GISS MODEL E EARTH SYSTEM MODEL,"MODELING, ANALYSIS AND PREDICTION  PROGRAM",SUSANNE E BAUER,DAVID CONSIDINE,6/17/2015,5/14/2009,6/30/2015,Work In Progress,Receiving
(N/A),NNX09AL29G S10,ARIZONA STATE UNIVERSITY,HQ,LABORATORY AND FIELD STUDIES OF SILICA FOR IMPROVED UNDERSTANDING OF RECENT DISCOVERIES ON MARS,MARS FUNDAMENTAL RESEARCH,STEVEN WILLIAM RUFF,MITCHELL D SCHULTE,5/12/2015,6/15/2009,9/14/2015,Work In Progress,Receiving
(N/A),NNX09AL65G S09,Pennsylvania State University,HQ,ON-LINE INTERACTIVE MODELS OF CLIMATE SYSTEM DYNAMICS TO EXPAND THE REACH AND EFFECTIVENESS OF CLIMATE CHANGE EDUCATION,GLOBAL CLIMATE CHANGE EDUCATION (GCCE),TIMOTHY J BRALOWER,MONICA H BARNES,5/22/2015,7/1/2009,6/30/2016,Work In Progress,Receiving
(N/A),NNX09AM06G S07,Planetary Science Institute,HQ,US NEAR-EARTH OBJECT SURVEILLANCE SATELLITE SCIENCE TEAM SUPPORT,LUNAR AND PLANETARY SCIENCE U.S. PARTICIPATING INVESTIGATOR PROGRAM,EDWARD TEDESCO,LINDLEY N JOHNSON,7/30/2015,8/3/2009,2/2/2016,Work In Progress,Receiving
(N/A),NNX09AM43G S07,TRANQUILLITY ENTERPRISES,HQ,"HIGH-ACCURACY PHOTOREALISTIC, IMMERSIVE 3D COMPUTER MODELS OF THE LUNAR SURFACE: FUTURE SPACE EXPLORATION THROUGH VIRTUAL SIMULATION, MISSION TRAINING, AND PUBLIC OUTREACH",LUNAR ADVANCED SCIENCE AND EXPLORATIONS RESEARCH (LASER) PROGRAM,RONALD A WELLS,ROBERT A FOGEL,8/12/2015,8/1/2009,9/30/2016,Work In Progress,Administrative |
(N/A),NNX09AM75G S06,University of California-Los Angeles,HQ,TECTONICS AND VOLCANISM IN AFAR FROM INSAR TIME SERIES DATA,EARTH SURFACE AND INTERIOR,GILLES F PELTZER,BENJAMIN R. PHILLIPS,7/7/2015,7/15/2009,7/14/2016,Work In Progress,Receiving
(N/A),NNX09AO16G S07,"Resources for the Future, Inc.",HQ,IMPROVING WATER QUALITY MANAGEMENT: USE OF EARTH OBSERVATIONS IN SPARROW,DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS,MOLLY MACAULEY,BRADLEY D DOORN,7/1/2015,9/1/2009,7/31/2015,Work In Progress,Receiving
4200540756,NNX09AQ10A S11,Universities Space Research Association-USRA,HQ,PLANET SEPOF: EXTENDING THE COHERENCE AND REACH OF NASA PLANETARY SCIENCE AND SMD ED/PO,SCIENCE EDUCATION AND PUBLIC OUTREACH FORUMS,STEPHANIE SHIPP,KRISTEN J ERICKSON,2/18/2015,10/1/2009,9/30/2015,Work In Progress,Funding |
